,estimator,learning_rate,loss,max_depth,max_features,min_samples_leaf,n_estimators
0,0,0.14755756778752627,0,10.0,198.0,5.0,926.0
1,0,0.10808803760020735,1,9.0,165.0,7.0,152.0
2,0,0.07151653969733697,0,3.0,212.0,25.0,915.0
3,0,0.11058073901476626,0,9.0,213.0,5.0,56.0
4,0,0.1353440995944701,0,8.0,202.0,13.0,888.0
5,0,0.17617551448636937,1,5.0,201.0,36.0,173.0
6,0,0.14621087846514597,0,6.0,161.0,70.0,797.0
7,0,0.13583077866265864,0,6.0,224.0,17.0,565.0
8,0,0.16743363410937423,0,7.0,186.0,43.0,425.0
9,0,0.1164433094025833,0,6.0,224.0,46.0,952.0
10,0,0.15649328646010058,0,8.0,206.0,44.0,866.0
11,0,0.19893805505012513,0,7.0,217.0,47.0,985.0
12,0,0.15105665832368653,0,7.0,193.0,66.0,954.0
13,0,0.12646633346638445,0,8.0,180.0,64.0,930.0
14,0,0.08922750950998844,0,8.0,211.0,6.0,420.0
15,0,0.16409364614340638,0,3.0,213.0,69.0,970.0
16,0,0.08757481306255324,0,9.0,157.0,70.0,872.0
17,0,0.15910468835392932,0,8.0,153.0,45.0,495.0
18,0,0.1528223683628804,0,5.0,151.0,58.0,709.0
19,0,0.11127793517138479,0,9.0,193.0,14.0,333.0
20,0,0.1132418296790913,0,10.0,156.0,45.0,924.0
21,0,0.11993657870149582,0,2.0,185.0,11.0,318.0
22,0,0.12075173532369982,0,7.0,196.0,13.0,135.0
23,0,0.1420810114214984,1,8.0,200.0,5.0,361.0
24,0,0.09001854900675502,1,4.0,163.0,13.0,615.0
25,0,0.16019990340472384,0,5.0,184.0,53.0,685.0
26,0,0.1629624472641158,0,10.0,214.0,45.0,930.0
27,0,0.12254319007472589,0,10.0,213.0,11.0,857.0
28,0,0.08578381364283158,0,3.0,212.0,9.0,787.0
29,0,0.19233061342343566,1,8.0,206.0,15.0,172.0
30,0,0.08681786365169225,0,5.0,164.0,33.0,787.0
31,0,0.08966999287652161,0,3.0,190.0,14.0,671.0
32,0,0.15383329080392505,0,7.0,180.0,10.0,683.0
33,0,0.1739194170517579,0,5.0,200.0,9.0,571.0
34,0,0.189021689902701,0,4.0,205.0,45.0,843.0
35,0,0.18386463496303398,0,5.0,187.0,40.0,949.0
36,0,0.08471347153026837,0,6.0,163.0,7.0,155.0
37,0,0.18536801372390085,0,8.0,196.0,43.0,926.0
38,0,0.15263079917676203,0,4.0,161.0,59.0,914.0
39,0,0.1855661713169296,0,10.0,214.0,36.0,821.0
40,0,0.13609155454900929,0,8.0,205.0,41.0,782.0
41,0,0.17580915120983961,0,2.0,209.0,44.0,947.0
42,0,0.1395490064675785,0,8.0,163.0,29.0,240.0
43,0,0.16984726969925634,0,5.0,189.0,39.0,662.0
44,0,0.059943205476051496,0,3.0,200.0,6.0,540.0
45,0,0.1504051527639222,0,3.0,191.0,43.0,595.0
46,0,0.1152096574322315,0,8.0,218.0,15.0,892.0
47,0,0.1356703611934119,0,10.0,215.0,6.0,641.0
48,0,0.19538401858381582,0,8.0,163.0,9.0,722.0
49,0,0.1866103033500194,0,2.0,200.0,29.0,730.0
50,0,0.1911347990933487,0,8.0,175.0,16.0,236.0
51,0,0.10208192890622787,0,10.0,208.0,29.0,737.0
52,0,0.11120214605466883,0,4.0,180.0,8.0,241.0
53,0,0.19656623329607797,0,9.0,208.0,11.0,866.0
54,0,0.12398667149550203,0,6.0,176.0,68.0,1000.0
55,0,0.10481853939751858,0,8.0,204.0,9.0,316.0
56,0,0.17936000747590017,0,5.0,202.0,15.0,272.0
57,0,0.17965749509648216,1,5.0,209.0,8.0,157.0
58,0,0.13367516829068266,0,6.0,186.0,19.0,462.0
59,0,0.07136401029125602,0,5.0,150.0,6.0,214.0
60,0,0.14767505732747002,0,4.0,172.0,47.0,926.0
61,0,0.10797898047594735,0,8.0,167.0,31.0,936.0
62,0,0.13735406955965695,0,3.0,204.0,28.0,958.0
63,0,0.1083770626277123,0,2.0,224.0,21.0,594.0
64,0,0.15306297734092833,0,5.0,176.0,11.0,386.0
65,0,0.16161077521864264,0,7.0,151.0,37.0,754.0
66,0,0.17379676337805033,0,5.0,194.0,23.0,285.0
67,0,0.07847178204202682,0,5.0,155.0,41.0,977.0
68,0,0.1936281222897803,0,10.0,220.0,29.0,347.0
69,0,0.19800003374358943,0,3.0,216.0,6.0,995.0
70,0,0.17276253220146337,0,9.0,161.0,38.0,704.0
71,0,0.16844544982501086,0,5.0,159.0,31.0,670.0
72,0,0.18941166579253682,0,5.0,168.0,48.0,737.0
73,0,0.19635107981853855,0,6.0,223.0,56.0,983.0
74,0,0.19933287514500345,0,2.0,172.0,40.0,819.0
75,0,0.16658776571541745,1,9.0,193.0,13.0,692.0
76,0,0.18265630234703198,0,8.0,172.0,5.0,795.0
77,0,0.18486187247288194,0,8.0,157.0,38.0,753.0
78,0,0.09844515042816498,0,6.0,154.0,6.0,360.0
79,0,0.1940868544664332,0,5.0,158.0,59.0,743.0
80,0,0.19031302733975172,0,10.0,187.0,45.0,890.0
81,0,0.08281461877981276,1,5.0,203.0,9.0,373.0
82,0,0.18801443302445567,0,6.0,189.0,6.0,885.0
83,0,0.14784056581391058,0,7.0,154.0,61.0,832.0
84,0,0.1450690630465782,0,8.0,175.0,23.0,603.0
85,0,0.18156630769097928,0,2.0,219.0,66.0,996.0
86,0,0.10562396427483044,1,7.0,183.0,10.0,407.0
87,0,0.12937766191544786,0,9.0,150.0,18.0,802.0
88,0,0.1711697107887802,0,5.0,177.0,73.0,951.0
89,0,0.1813370889662816,1,10.0,160.0,20.0,550.0
90,0,0.08614643114117083,0,8.0,150.0,24.0,283.0
91,0,0.11883871289015013,0,2.0,172.0,22.0,560.0
92,0,0.1889235139775711,0,5.0,211.0,45.0,259.0
93,0,0.1539083338697757,0,2.0,197.0,41.0,648.0
94,0,0.0913360224989017,0,9.0,151.0,25.0,491.0
95,0,0.150089107556813,0,7.0,202.0,33.0,556.0
96,0,0.16260019128325617,0,2.0,179.0,12.0,282.0
97,0,0.12159651014399254,0,3.0,210.0,24.0,893.0
98,0,0.18952803053604203,0,8.0,188.0,69.0,715.0
99,0,0.09142918508458567,0,9.0,200.0,6.0,306.0
100,0,0.1231213641377402,0,9.0,218.0,19.0,359.0
101,0,0.1451448737260549,0,10.0,188.0,5.0,690.0
102,0,0.12213422810358641,0,5.0,168.0,5.0,314.0
103,0,0.18111694574240927,0,6.0,188.0,43.0,848.0
104,0,0.1845365901318918,0,7.0,210.0,5.0,334.0
105,0,0.10840701396331329,0,2.0,189.0,26.0,740.0
106,0,0.19959791938720872,0,2.0,220.0,27.0,574.0
107,0,0.13545121154221543,1,4.0,154.0,8.0,480.0
108,0,0.11422331233549865,0,7.0,170.0,37.0,572.0
109,0,0.14819314891455995,0,9.0,160.0,36.0,671.0
110,0,0.1994135434198106,0,7.0,167.0,16.0,647.0
111,0,0.19026432428437343,0,8.0,195.0,5.0,604.0
112,0,0.15992643480952706,0,4.0,195.0,7.0,211.0
113,0,0.1709762003936754,0,6.0,161.0,9.0,633.0
114,0,0.19483287533710136,0,3.0,181.0,30.0,668.0
115,0,0.09557346640469123,1,6.0,207.0,6.0,432.0
116,0,0.15753842310160607,0,5.0,150.0,5.0,173.0
117,0,0.06755218473164928,0,6.0,179.0,9.0,332.0
118,0,0.12762898533103217,0,7.0,182.0,29.0,502.0
119,0,0.19378584188871673,0,3.0,154.0,17.0,540.0
120,0,0.12150251705202696,0,7.0,170.0,11.0,720.0
121,0,0.18045321783248938,0,2.0,215.0,55.0,791.0
122,0,0.14598977843348543,0,10.0,202.0,46.0,995.0
123,0,0.13839502953439278,1,8.0,153.0,6.0,996.0
124,0,0.1627192881184343,0,2.0,207.0,23.0,827.0
125,0,0.11761402187849695,0,6.0,151.0,13.0,512.0
126,0,0.13665232990525603,0,6.0,222.0,6.0,209.0
127,0,0.18605011515776368,0,3.0,207.0,69.0,973.0
128,0,0.1609280613330617,0,6.0,169.0,29.0,871.0
129,0,0.11061097321255263,0,4.0,151.0,44.0,790.0
130,0,0.14790700997876638,0,6.0,190.0,40.0,660.0
131,0,0.1423233158274604,1,5.0,191.0,29.0,857.0
132,0,0.18145574575757256,0,10.0,183.0,50.0,682.0
133,0,0.1982492150297104,0,8.0,216.0,5.0,705.0
134,0,0.1348913529304209,0,6.0,190.0,38.0,634.0
135,0,0.11776046637015296,0,7.0,211.0,20.0,883.0
136,0,0.16643129118463848,0,5.0,165.0,11.0,76.0
137,0,0.14634379814877269,1,6.0,198.0,6.0,791.0
138,0,0.15790206991847938,0,2.0,181.0,39.0,594.0
139,0,0.10961328414264809,0,9.0,201.0,46.0,730.0
140,0,0.10575373802638346,0,2.0,165.0,16.0,241.0
141,0,0.17929493078378805,0,7.0,183.0,12.0,328.0
142,0,0.19866329815118422,0,9.0,179.0,44.0,572.0
143,0,0.19792724565028313,0,9.0,170.0,24.0,633.0
144,0,0.12740282098924122,1,8.0,162.0,7.0,613.0
145,0,0.19863397711607755,0,7.0,191.0,35.0,852.0
146,0,0.18534880704843354,0,2.0,214.0,59.0,964.0
147,0,0.16642710969021668,0,9.0,218.0,6.0,794.0
148,0,0.1142000580887631,0,6.0,208.0,18.0,824.0
149,0,0.16083046453078456,0,3.0,203.0,49.0,893.0
150,0,0.10514891255739768,0,9.0,158.0,9.0,541.0
151,0,0.15823088813280167,0,5.0,150.0,37.0,959.0
152,0,0.18067361259972334,0,10.0,173.0,8.0,952.0
153,0,0.10643805097322961,0,6.0,186.0,15.0,290.0
154,0,0.12844044566278556,0,4.0,174.0,11.0,368.0
155,0,0.16273331906567107,0,6.0,176.0,11.0,796.0
156,0,0.17052151589304998,1,6.0,194.0,13.0,686.0
157,0,0.1436001140622092,0,8.0,171.0,47.0,903.0
158,0,0.1352369185039708,0,5.0,214.0,48.0,1000.0
159,0,0.199437927669697,0,4.0,210.0,57.0,928.0
160,0,0.18006111350633142,0,7.0,150.0,40.0,893.0
161,0,0.16248929561967235,1,8.0,186.0,7.0,570.0
162,0,0.07863522857329831,0,6.0,177.0,19.0,883.0
163,0,0.18527127801932214,1,9.0,155.0,7.0,250.0
164,0,0.09749648162689728,0,3.0,207.0,10.0,277.0
165,0,0.17978855765100912,0,9.0,179.0,26.0,203.0
166,0,0.11541136253844377,0,3.0,172.0,56.0,998.0
167,0,0.10703935092514372,0,4.0,201.0,15.0,913.0
168,0,0.18212235242307162,0,9.0,181.0,27.0,253.0
169,0,0.1100565577000003,0,7.0,192.0,5.0,520.0
170,0,0.1693408630369577,1,10.0,191.0,10.0,756.0
171,0,0.1869077212191672,0,5.0,217.0,19.0,988.0
172,0,0.15010835161944164,0,5.0,173.0,39.0,723.0
173,0,0.16620656691116512,1,5.0,223.0,11.0,472.0
174,0,0.1560631729564638,0,7.0,208.0,9.0,440.0
175,0,0.19903731738808944,0,9.0,206.0,44.0,793.0
176,0,0.08614922926704811,0,8.0,209.0,23.0,299.0
177,0,0.18058573647317017,0,5.0,206.0,5.0,356.0
178,0,0.17764870832279034,0,9.0,168.0,35.0,744.0
179,0,0.16344228722474072,0,6.0,175.0,43.0,675.0
180,0,0.11869273055407586,0,8.0,150.0,16.0,938.0
181,0,0.1282933534135857,0,5.0,208.0,30.0,979.0
182,0,0.139313622723008,0,6.0,180.0,5.0,919.0
183,0,0.13419824205380557,0,8.0,198.0,5.0,802.0
184,0,0.10690106550615043,0,10.0,224.0,41.0,635.0
185,0,0.1516419098166914,0,10.0,220.0,13.0,997.0
186,0,0.19796323374908187,0,2.0,204.0,6.0,721.0
187,0,0.05051499465638599,0,10.0,204.0,21.0,859.0
188,0,0.18700787606055558,0,10.0,197.0,44.0,833.0
189,0,0.18036533285568832,0,4.0,188.0,44.0,996.0
190,0,0.19138767900919534,0,8.0,194.0,17.0,879.0
191,0,0.18244303887727215,1,4.0,173.0,8.0,777.0
192,0,0.1769634829745687,0,6.0,194.0,17.0,466.0
193,0,0.18870806195709047,0,4.0,197.0,16.0,499.0
194,0,0.18009416947523754,0,4.0,158.0,6.0,199.0
195,0,0.13736096074366042,1,7.0,168.0,7.0,351.0
196,0,0.16739711855028455,0,2.0,223.0,39.0,523.0
197,0,0.1852899414268856,0,7.0,181.0,21.0,602.0
198,0,0.15888971861723147,0,2.0,199.0,50.0,873.0
199,0,0.17509725315482103,0,5.0,168.0,42.0,771.0
200,0,0.13103352407792374,0,9.0,179.0,19.0,883.0
201,0,0.1391624872749829,0,5.0,183.0,41.0,712.0
202,0,0.17764613832469228,0,6.0,222.0,46.0,584.0
203,0,0.19963463149534358,0,9.0,181.0,23.0,825.0
204,0,0.1199174939583065,0,9.0,210.0,10.0,868.0
205,0,0.12917802327337896,0,5.0,156.0,32.0,846.0
206,0,0.19969367449689443,0,10.0,202.0,38.0,696.0
207,0,0.16095236195463608,0,9.0,221.0,48.0,604.0
208,0,0.134995477128477,0,7.0,158.0,6.0,211.0
209,0,0.10485429780767594,0,10.0,154.0,32.0,934.0
210,0,0.1317254565789586,0,10.0,190.0,13.0,385.0
211,0,0.19778141769804486,0,10.0,170.0,37.0,997.0
212,0,0.06991077879053387,1,8.0,177.0,15.0,936.0
213,0,0.16530600627520975,1,6.0,178.0,14.0,992.0
214,0,0.14918578445636652,1,6.0,153.0,5.0,974.0
215,0,0.12112390865264569,0,6.0,155.0,55.0,978.0
216,0,0.17165383855483032,0,5.0,172.0,21.0,451.0
217,0,0.11004153128105088,0,2.0,159.0,34.0,959.0
218,0,0.14623787933375626,1,5.0,171.0,6.0,572.0
219,0,0.14968387030335226,0,5.0,201.0,32.0,622.0
220,0,0.18156270080826098,0,8.0,214.0,61.0,904.0
221,0,0.10533322967391213,0,5.0,177.0,46.0,962.0
222,0,0.09499582205767171,0,7.0,199.0,46.0,953.0
223,0,0.11876458591880293,0,5.0,183.0,10.0,987.0
224,0,0.19563952682825683,0,10.0,151.0,6.0,373.0
225,0,0.10191293719591635,0,2.0,174.0,43.0,904.0
226,0,0.1906077528529484,0,7.0,172.0,43.0,934.0
227,0,0.13526072952788598,1,10.0,198.0,5.0,597.0
228,0,0.13490470685612277,0,3.0,153.0,24.0,722.0
229,0,0.19528938639443671,0,5.0,194.0,21.0,345.0
230,0,0.1992301434504511,0,9.0,175.0,33.0,426.0
231,0,0.17672061038919035,0,6.0,159.0,68.0,759.0
232,0,0.18957068049163728,0,3.0,224.0,38.0,267.0
233,0,0.14537730797037443,0,4.0,206.0,38.0,793.0
234,0,0.18425073383681811,0,8.0,187.0,31.0,709.0
235,0,0.1532865244648695,0,3.0,179.0,20.0,544.0
236,0,0.19473605704069527,0,9.0,179.0,12.0,913.0
237,0,0.12090074621820496,0,9.0,188.0,13.0,353.0
238,0,0.18993263473838412,0,7.0,210.0,30.0,898.0
239,0,0.1404154073043472,0,10.0,223.0,5.0,789.0
240,0,0.08690511250193139,0,3.0,159.0,21.0,406.0
241,0,0.13691102642599612,0,8.0,219.0,42.0,603.0
242,0,0.12101404090064723,1,8.0,198.0,6.0,268.0
243,0,0.17320350911393215,0,9.0,172.0,21.0,474.0
244,0,0.19800795490196454,0,6.0,171.0,9.0,886.0
245,0,0.19480712040222914,1,5.0,175.0,14.0,887.0
246,0,0.18708493507327323,0,8.0,173.0,5.0,386.0
247,0,0.1385069411732118,1,6.0,174.0,6.0,648.0
248,0,0.1039348797545423,0,3.0,166.0,44.0,669.0
249,0,0.1666533067721532,0,8.0,204.0,62.0,884.0
250,0,0.16367258477114083,0,10.0,199.0,5.0,533.0
251,0,0.1290077202515079,0,8.0,219.0,49.0,879.0
252,0,0.19727095619125506,0,5.0,169.0,41.0,874.0
253,0,0.16217405720348554,0,4.0,162.0,35.0,841.0
254,0,0.17519603536467762,0,8.0,200.0,10.0,116.0
255,0,0.11854645643143993,0,5.0,223.0,43.0,876.0
256,0,0.07682166799399516,0,9.0,168.0,5.0,696.0
257,0,0.17946106219686625,1,5.0,205.0,5.0,464.0
258,0,0.1999993130846747,0,5.0,150.0,5.0,876.0
259,0,0.10241613358349756,0,6.0,190.0,8.0,166.0
260,0,0.18577849898984874,1,5.0,204.0,6.0,766.0
261,0,0.10248598354105756,0,6.0,200.0,5.0,586.0
262,0,0.1561513367725275,0,6.0,160.0,10.0,715.0
263,0,0.1792419993146498,0,10.0,207.0,8.0,622.0
264,0,0.17606142292891616,0,10.0,215.0,15.0,702.0
265,0,0.11654081415660356,0,8.0,160.0,5.0,864.0
266,0,0.1513627302713278,0,9.0,159.0,45.0,902.0
267,0,0.18276122517622637,0,10.0,162.0,48.0,999.0
268,0,0.1428544046734307,0,4.0,199.0,12.0,185.0
269,0,0.16393771729318848,0,6.0,205.0,36.0,998.0
270,0,0.19668572885238395,0,3.0,167.0,19.0,618.0
271,0,0.1954162514789235,0,8.0,165.0,63.0,963.0
272,0,0.188599662254459,0,8.0,190.0,29.0,905.0
273,0,0.15296992799093298,0,8.0,154.0,53.0,894.0
274,0,0.14368805271294244,0,5.0,204.0,24.0,116.0
275,0,0.18526478328607407,0,5.0,167.0,48.0,930.0
276,0,0.16023829524330752,0,2.0,197.0,50.0,997.0
277,0,0.14463483711395564,1,5.0,198.0,6.0,916.0
278,0,0.19964906794492046,0,5.0,206.0,5.0,291.0
279,0,0.1480939949018098,0,6.0,153.0,26.0,718.0
280,0,0.17680744737941304,0,3.0,196.0,29.0,483.0
281,0,0.10555278952769367,0,7.0,195.0,22.0,610.0
282,0,0.13655258981514218,0,6.0,156.0,28.0,822.0
283,0,0.18319161215327082,0,9.0,156.0,68.0,987.0
284,0,0.14297147124364498,0,2.0,179.0,20.0,501.0
285,0,0.11879823798683563,1,9.0,208.0,6.0,987.0
286,0,0.11204506607945897,0,5.0,185.0,6.0,412.0
287,0,0.19491687614289493,0,6.0,154.0,49.0,855.0
288,0,0.1776014213400991,0,10.0,180.0,27.0,982.0
289,0,0.050069696757249524,0,3.0,224.0,7.0,370.0
290,0,0.08521927720452122,0,7.0,178.0,27.0,269.0
291,0,0.17406618008033972,0,5.0,213.0,43.0,822.0
292,0,0.19997293039909333,0,3.0,196.0,56.0,993.0
293,0,0.12410433026825277,0,8.0,176.0,18.0,680.0
294,0,0.15427040014594987,0,5.0,204.0,32.0,652.0
295,0,0.15580125854300372,0,7.0,214.0,15.0,453.0
296,0,0.13589465536037457,0,5.0,211.0,20.0,505.0
297,0,0.06412772872914915,0,8.0,174.0,11.0,640.0
298,0,0.15468418326264782,0,4.0,207.0,70.0,949.0
299,0,0.16252933893450516,0,8.0,164.0,26.0,412.0
300,0,0.17630057892318265,0,4.0,159.0,53.0,977.0
301,0,0.1668071897414499,0,4.0,151.0,57.0,908.0
302,0,0.1461383568354016,0,10.0,222.0,55.0,829.0
303,0,0.1355884465492459,0,6.0,170.0,55.0,904.0
304,0,0.08468283464898194,0,9.0,168.0,33.0,770.0
305,0,0.144339581355038,0,4.0,169.0,35.0,769.0
306,0,0.14742051791336666,0,3.0,186.0,47.0,875.0
307,0,0.12169716957402979,1,8.0,209.0,8.0,703.0
308,0,0.1782681973179223,0,6.0,171.0,29.0,781.0
309,0,0.09850852251243215,0,6.0,207.0,28.0,261.0
310,0,0.16533454635084355,0,5.0,153.0,7.0,144.0
311,0,0.09997087631437451,0,8.0,201.0,5.0,187.0
312,0,0.16249378301492434,0,9.0,161.0,6.0,82.0
313,0,0.07142037182914758,0,7.0,168.0,20.0,381.0
314,0,0.15956519354683535,0,8.0,220.0,44.0,629.0
315,0,0.1917565608671275,0,8.0,194.0,34.0,766.0
316,0,0.1655617713522808,0,10.0,158.0,31.0,405.0
317,0,0.16920472305802414,1,10.0,216.0,5.0,629.0
318,0,0.15695692105746115,0,3.0,188.0,9.0,699.0
319,0,0.17959380962898952,1,10.0,174.0,8.0,1000.0
320,0,0.1348193769365284,0,9.0,198.0,44.0,903.0
321,0,0.150710683528831,0,8.0,172.0,24.0,262.0
322,0,0.19998974204608974,0,5.0,182.0,29.0,388.0
323,0,0.09057101680195784,0,4.0,174.0,12.0,243.0
324,0,0.1963918788329977,0,6.0,196.0,29.0,648.0
325,0,0.11266583510339176,0,10.0,180.0,28.0,838.0
326,0,0.19980018147538148,0,6.0,194.0,12.0,373.0
327,0,0.13662179685524664,1,5.0,180.0,22.0,412.0
328,0,0.114260205478528,0,5.0,176.0,6.0,945.0
329,0,0.173771952388519,0,7.0,167.0,12.0,995.0
330,0,0.18041491201822896,0,10.0,170.0,34.0,379.0
